SP001,SP002,SP003,SP004,SP005,SP006,SP007,SP008,SP009,SP010,SP011,SP012,SP013,SP014,SP015,SP016,MSD_TRACKID
8.501,0.07007,0.005855,200.6,0.003042,0.09163,0.05096,21.18,7.432,0.05245,0.003384,1570.0,0.004289,0.1532,0.5988,25.07,'TRHFHYX12903CAF953'
5.101,0.04946,0.007952,241.3,0.002879,0.08716,0.03366,13.13,9.995,0.07575,0.01031,1455.0,0.008896,0.3404,0.5227,34.82,'TRHFHAU128F9341A0E'
8.101,0.06402,0.002458,238.5,0.002335,0.08902,0.06764,18.71,15.35,0.102,0.001901,1712.0,0.004152,0.1649,0.5467,41.47,'TRHFHLP128F14947A7'
7.226,0.05985,0.005215,194.7,0.002057,0.05784,0.04056,15.88,12.98,0.1094,0.008331,1595.0,0.008042,0.3087,0.5067,39.75,'TRHFHFF128F930AC11'
4.304,0.03282,0.001262,279.3,0.002383,0.08844,0.07417,10.88,7.721,0.04463,0.001093,1778.0,0.004259,0.1622,0.5364,18.54,'TRHFHYJ128F4234782'
2.724,0.02075,0.001779,203.1,0.001305,0.0453,0.05082,9.718,5.263,0.02806,0.000893,1748.0,0.002865,0.1078,0.5391,19.3,'TRHFHHR128F9339010'
15.66,0.09097,0.0005162,178.1,0.001069,0.03922,0.08063,33.94,9.158,0.05251,0.0002946,1621.0,0.001542,0.05869,0.5568,23.59,'TRHFHMB128F4213BC9'
2.161,0.01658,0.003491,239.0,0.0018,0.05721,0.04387,7.207,3.613,0.02298,0.002387,1676.0,0.004306,0.1585,0.5359,10.82,'TRHFHWT128F429032D'
8.862,0.07809,0.005187,218.2,0.003705,0.1118,0.05035,23.79,7.212,0.05154,0.003541,1547.0,0.006084,0.212,0.554,24.34,'TRHFHKO12903CBAF09'
17.28,0.1152,0.01479,233.2,0.004955,0.1585,0.04368,36.05,13.94,0.09003,0.009435,1599.0,0.007048,0.2618,0.5499,37.91,'TRHFHOB128F425F027'
